RegionID,SizeRank,RegionName,RegionType,StateName,State,City,Metro,CountyName,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30,2025-12-31,2026-01-31,2026-02-28,2026-03-31,2026-04-30,2026-05-31,2026-06-30
61639,29,10025,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",New York County,4090.610871506353,4128.77843756605,4170.742823447693,4220.745378774039,4262.303978840085,4336.7909344977625,4397.658638754364,4449.442150209484,4441.025999523113,4423.120440217875,4338.834739332873,4273.703974934832,4277.2249022810565,4341.304762108567,4441.621991267495,4475.027351203567,4555.292563144624,4609.429741909608
61616,139,10002,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",New York County,4210.610137833228,4254.607838342753,4288.7204816671165,4336.226354274887,4400.674015570535,4454.246481845287,4522.444035804072,4589.72380127162,4589.20727318006,4599.439119397558,4564.901752391594,4562.664775241516,4536.460730620929,4557.999225206408,4610.528379404262,4680.684259606404,4769.227030308826,4875.390459200651
62026,172,11215,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Kings County,3677.026733210885,3740.6080076681037,3810.3313447734517,3864.2371625460733,3881.355227129176,3897.4157985690604,3940.961859869135,3995.228816804851,3994.1412092662003,3954.210051356546,3880.7487620659776,3885.3964195131016,3900.1210897986184,3966.311560230544,4024.7623852050133,4116.419503404963,4179.230235463105,4205.223426157586
62012,222,11201,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Kings County,4310.5765490102,4363.194966655058,4392.156525069273,4420.245652211805,4455.717157435182,4514.468381838121,4542.613786596332,4557.735989381234,4526.08710389419,4499.787131207498,4460.617134190397,4415.889394902769,4443.78292739273,4495.30689912992,4596.9239688552325,4650.21581657554,4682.452998784177,4701.967621048945
62048,447,11238,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Kings County,3650.7488634990705,3705.0825770500687,3768.6244382648993,3816.574219136936,3842.0700765403226,3885.6069716410875,3932.5038837897355,3949.664973627129,3848.6421397937524,3818.868184927326,3844.0882274576284,3941.1082435635017,3977.72960653195,3930.756726434268,3946.000938000364,3967.2405974830986,4039.8217637683674,4070.6000444772817
61623,531,10009,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",New York County,4234.40462487329,4281.983090818513,4367.026135887558,4444.164470188725,4511.462354220771,4594.078700177282,4672.161517071483,4737.983607144297,4769.965945444227,4769.919155651525,4720.906100800028,4677.214952947595,4647.929871100944,4672.290032197196,4693.7324287758,4787.055219110586,4901.008559521795,5025.549002690513
62066,652,11354,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Queens County,2433.625503361182,2458.5448415280352,2514.27462223667,2557.1708366817406,2568.585901607845,2575.7172485208553,2602.4093513117127,2668.3348931605474,2680.7668006868516,2638.0000425808416,2592.468510869907,2662.0894869973927,2651.178258328398,2680.2194808433037,2587.7963737631794,2644.6112788082123,2680.3729882028338,2714.681818181818
61617,710,10003,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",New York County,4580.451921743533,4624.02867375242,4690.153520544709,4747.137577521706,4811.364247892496,4885.828724367908,4975.158447871776,5057.439236135324,5069.511184061751,5046.1335198632105,4967.686861632237,4952.065445208934,4948.432927042274,5018.360757394829,5127.503328808164,5230.54966886121,5292.930089453104,5327.847689256581
61791,838,10451,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Bronx County,3000.5658967874824,3023.745596745341,2962.453781649498,2951.752257291666,2924.592008921861,2900.295405017166,2820.3267302234945,2832.2476393969264,2766.9329973974836,2880.8207109319505,2873.0692606424295,2878.220638724354,2818.677214398423,2929.3681956788173,3046.0335879465747,3083.8415891495333,2989.0738903291035,2968.994949494949
61630,872,10016,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",New York County,4584.185902183175,4621.065991260477,4682.271496029058,4730.955785585753,4783.6156796083405,4857.542205514421,4929.587868267237,4967.781948932415,4948.116555891066,4902.481879881174,4851.080348431791,4810.682028379106,4827.165183429397,4883.008211966871,4941.1664564734165,4994.756370418074,5055.853293016659,5153.080122958275
61625,947,10011,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",New York County,5134.915513742724,5218.44661290467,5267.8094469466705,5356.2312182726355,5421.196043147908,5541.091705707285,5628.907593664179,5758.879074563331,5752.469676310646,5728.125445476203,5609.370202471258,5563.965317197754,5540.658458679213,5583.22909266182,5637.9741018030145,5771.962050436487,5851.746611336915,5952.945036237172
61633,1339,10019,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",New York County,4381.2474668099985,4409.642593210965,4420.660538655686,4471.778843606119,4531.345707580922,4592.1849954577565,4662.636773602993,4719.550016997912,4728.174761833099,4694.70849958893,4623.683535264442,4584.036993746623,4558.777149614541,4575.0243437748695,4597.536724133543,4661.127092872902,4746.800922849935,4840.071081223166
62028,1595,11217,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Kings County,4079.884484466228,4123.618362724149,4169.171672741836,4224.3938388642755,4259.99372227277,4265.113485159518,4306.269284483048,4366.30286944097,4380.848076799488,4356.874027709349,4312.22983011795,4326.621702481153,4346.660521669788,4399.051002709121,4495.341302096267,4565.198646396236,4579.036507816892,4534.840129469217
61635,1838,10021,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",New York County,3551.346858913303,3571.4003694706635,3631.3740478825885,3679.7453938831823,3709.1504434598564,3796.1361383499425,3843.394536290109,3901.843594274295,3918.580239253692,3895.66927119214,3871.10260967334,3787.235382090498,3816.5449214708347,3854.7906346127843,3951.3173025361803,4000.936481630296,4024.118539567798,4083.226502870904
61777,2080,10301,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Richmond County,2642.0051793022126,2740.9117957336007,2762.086113087762,2785.7434823139924,2720.560699316522,2755.071297130005,2718.022375070691,2753.8043588202886,2772.9773960556317,2714.3505146285693,2784.5291447579025,2869.7735903456733,3015.6587547318404,2966.3616746521157,2863.1489260970297,2811.21064230651,2818.7293538308327,2810.75
62004,2442,11101,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Queens County,4210.7627802489105,4221.2399987284925,4231.173425443522,4222.74360522738,4206.53613429597,4221.426137402943,4264.453453440732,4289.784068308966,4306.67557409333,4271.167445797311,4242.419891619384,4225.057177743704,4224.395652927628,4254.8029728785905,4281.391645419391,4323.579572401709,4346.42222391658,4357.633992364878
61624,2896,10010,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",New York County,4732.990183486482,4812.954410274364,4868.225217035367,4922.895155594717,4941.947935856824,4982.088757859058,5086.095006079699,5127.707609660915,5158.5351051260795,5099.72198101816,5103.1767991217375,5062.851165173148,5045.92045393218,5064.624803044569,5114.796821741711,5189.1475575811155,5241.7460715408515,5334.745461290547
61628,3299,10014,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",New York County,5263.590752807171,5351.651624149044,5396.155861199929,5480.278340197095,5475.064471448036,5531.702765128448,5619.979724734858,5761.913511822895,5796.237149675436,5782.77586552766,5654.756620102492,5725.705819760267,5667.484507001476,5785.5711202273715,5780.646450652625,5954.045417482811,6043.8970032766865,6149.5799749978805
61650,4279,10036,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",New York County,4246.515577640923,4313.777607961992,4345.783945819201,4379.067964647339,4435.027553771284,4523.75749210313,4581.855468358563,4596.058926746298,4536.850143964205,4498.746780536658,4474.240086408416,4429.81432751894,4413.003289553751,4444.2447793654455,4523.322735601052,4577.716525508617,4638.674262646318,4717.010888549823
61615,4444,10001,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",New York County,5141.5748676587,5188.2009080706885,5293.690977307414,5388.989158398532,5432.370012126178,5469.092817940694,5496.836638269412,5521.455971040702,5510.185487413269,5485.721649359452,5410.073568506719,5366.239176416716,5376.01013942289,5468.349469009553,5531.299845446692,5585.556624379292,5620.034580057242,5696.480099083547
95992,10,90011,zip,CA,CA,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,2635.0754831180016,2792.1221357781874,2776.548308982293,2782.6414536846996,2660.5318278403347,2662.654602609176,2614.879551794012,2609.3825206975253,2601.3210327412544,2703.105639494074,2705.0898814941747,2659.0548871016185,2553.96757726238,2555.0075937166357,2605.2732802592304,2656.568109530344,2619.8730633625237,2606.2974358974357
96193,13,90650,zip,CA,CA,Norwalk,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,2655.070268742345,2650.4111710111324,2672.732869418555,2683.5638398235174,2729.948269501624,2749.974591757046,2784.8415195103744,2771.582356494116,2744.151320805345,2713.775887575708,2680.609063981096,2696.5044578607267,2722.367463414982,2782.8119066790987,2792.1156356772353,2751.507955713751,2764.9888067678794,2757.3888888888887
